,X,X._AnswerID,ResumeCode,Start,Dateandtime,Participationstatus,age,rela_status,sex,sex_oritation,length,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,Disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,Agree,phex22,phex23,phex24,phex25,phex26,phex27,phex28,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,satis01,satis02,satis03,satis04,satis05,satis06,satis07,commit01,commit02,commit03,commit04,commit05,commit06,commit07,IOS,commit03r,commit04r,satis04r,satis07r,hex30r,hex12r,hex60r,hex42r,hex24r,hex48r,hex53r,hex35r,hex41r,hex59r,hex28r,hex52r,hex10r,hex46r,hex09r,hex15r,hex57r,hex21r,hex26r,hex32r,hex14r,hex20r,hex44r,hex56r,hex01r,hex31r,hex49r,hex19r,hex55r,phex30r,phex12r,phex60r,phex42r,phex24r,phex48r,phex53r,phex35r,phex41r,phex59r,phex28r,phex52r,phex10r,phex46r,phex09r,phex15r,phex57r,phex21r,phex26r,phex32r,phex14r,phex20r,phex44r,phex56r,phex01r,phex31r,phex49r,phex19r,phex55r,HH,EM,EX,AG,CO,OP,pHH,pEM,pEX,pAG,pCO,pOP,satis,commit
1,1,59766077,67f06dc   ,"Jul 28, 2019 21:12","Jul 28, 2019 21:25",participated and completed        ,52,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,348,1,4,1,3,3,5,5,5,2,4,4,2,5,2,2,1,3,4,1,2,2,2,3,5,1,5,4,1,5,5,2,2,4,4,2,2,5,1,5,4,2,2,1,5,4,4,4,4,1,4,2,4,2,3,4,1,2,2,1,1,1,5,5,4,2,2,1,1,4,4,1,4,5,1,1,4,4,4,1,4,2,2,4,2,2,2,1,4,2,5,4,4,5,5,2,4,2,1,2,5,2,4,4,5,2,2,4,2,3,2,2,4,2,2,2,4,5,4,4,4,4,2,5,5,4,1,3,5,4,9,9,1,1,9,9,9,2,9,9,5,2,4,4,5,5,5,5,3,4,4,5,1,4,2,2,4,4,4,4,2,2,4,4,2,4,5,4,2,5,5,2,1,4,1,4,4,4,4,2,2,1,4,5,4,2,2,2,4,2,1,5,4,4,2,1,1,4,2,1,4.6,4,2.1,3.4,3.4,4.2,2.3,3.1,3.4,2.6,3.6,1.6,4.142857143,8.428571429
2,3,59766383,c1a871d   ,"Jul 28, 2019 21:35","Jul 28, 2019 21:57",participated and completed        ,53,Married/Civil Union      ,Male    ,I am in a heterosexual relationship,360,1,4,3,2,1,2,5,4,3,1,4,1,5,1,4,5,4,4,4,3,2,3,4,4,1,5,2,4,3,2,1,1,1,5,5,4,5,5,5,4,5,3,2,5,2,4,2,5,1,1,5,4,4,5,4,1,3,3,3,2,1,1,4,2,2,4,4,3,5,4,1,5,1,3,5,5,5,4,1,5,3,4,4,3,3,4,5,4,2,4,5,3,2,2,4,4,2,4,5,4,2,3,2,4,2,4,4,4,5,4,4,5,4,3,2,5,2,3,5,4,2,1,4,3,3,3,4,5,4,9,9,1,1,7,9,9,6,9,9,3,2,5,5,5,4,5,5,1,2,3,4,3,2,5,4,3,2,3,3,4,5,5,3,4,3,5,5,5,2,5,3,5,5,2,2,2,4,4,4,4,2,3,5,2,2,1,1,2,2,4,1,3,2,3,5,4,2,1,4,4.4,3,3.8,3.5,4.2,4.7,3.3,4.2,3.3,2.4,3.3,3.4,3.428571429,8.142857143
3,5,59766506,9aca550   ,"Jul 28, 2019 21:46","Jul 28, 2019 21:59",participated and completed        ,39,In a relationship        ,Female  ,I am in a heterosexual relationship,60,3,1,3,3,1,2,5,5,3,2,3,4,4,3,4,4,2,4,2,2,2,4,3,3,2,3,2,3,2,2,4,3,2,4,5,3,4,4,5,3,3,5,2,5,2,3,3,4,3,2,4,2,4,4,2,2,3,2,4,3,5,4,5,3,4,4,2,5,5,4,2,1,5,5,3,4,5,2,3,4,2,2,4,4,2,4,2,3,3,2,2,4,2,2,2,5,2,2,5,4,5,4,4,3,4,3,4,1,4,4,2,4,3,4,3,2,2,2,4,5,2,5,2,2,2,4,2,5,5,5,5,4,4,5,5,5,2,6,6,2,1,2,2,1,4,4,3,2,3,1,3,4,2,4,3,3,2,4,2,4,4,3,4,4,3,3,3,4,4,4,2,1,1,3,2,2,3,4,2,4,4,2,4,5,2,2,2,4,3,4,3,4,3,4,2,4,4,2,4,2.8,2.4,3.5,2.9,3.7,3.9,2,2.8,4.2,3,3.9,3.7,2.285714286,4.714285714
4,6,59766540,a8280fd   ,"Jul 28, 2019 21:50","Jul 28, 2019 22:06",participated and completed        ,49,In a domestic partnership,Female  ,I am in a heterosexual relationship,240,1,4,1,4,4,2,5,2,4,4,4,4,5,1,4,4,4,4,1,2,2,1,4,5,1,5,4,2,4,2,2,1,4,4,4,2,4,4,4,4,2,4,2,5,2,4,4,5,1,1,3,4,2,4,4,1,4,2,2,2,5,4,4,4,4,1,4,4,5,2,2,1,3,1,4,4,4,2,5,2,2,1,4,4,2,1,1,1,4,2,1,2,4,1,5,4,5,4,2,4,2,3,4,2,4,2,4,2,2,1,5,4,4,2,5,4,5,1,4,5,4,4,2,2,3,2,3,3,3,2,1,9,9,6,1,1,2,1,1,4,3,4,2,1,4,5,5,2,4,2,4,2,4,2,2,2,2,4,5,2,2,5,4,4,2,5,5,5,5,5,4,3,2,4,5,5,1,1,2,2,4,4,4,4,4,2,2,5,5,5,2,4,4,5,2,2,1,4,1,3.5,3.6,3,3.2,3.2,4.9,4,1.5,4,3.6,4.2,2.2,2.857142857,1.285714286
5,7,59766551,196daa1   ,"Jul 28, 2019 21:52","Jul 28, 2019 22:11",participated and completed        ,38,In a relationship        ,Female  ,I am in a heterosexual relationship,103,1,4,1,3,3,2,2,5,2,2,4,2,5,3,3,4,5,3,1,4,2,3,4,4,1,2,4,1,2,4,2,3,1,5,3,2,5,4,4,4,4,4,4,4,3,4,2,4,4,2,4,5,3,2,2,2,4,4,3,1,2,2,1,2,2,4,1,2,4,5,4,4,4,1,2,5,1,2,4,3,1,5,4,3,1,4,1,2,2,4,4,2,4,2,2,1,2,3,2,4,1,1,4,3,3,2,1,3,5,4,5,2,1,3,3,4,4,4,5,1,3,3,3,3,3,4,2,5,4,8,8,2,2,8,8,8,4,8,8,2,2,4,4,4,2,5,2,4,4,2,5,4,3,4,4,4,3,2,3,2,5,3,2,3,2,5,3,4,5,4,4,2,3,3,2,2,3,4,2,3,2,3,2,3,1,1,1,1,4,4,4,5,4,2,4,2,1,3,2,3.3,3.9,3.6,3.2,3.4,3.8,2.8,3.2,1.9,1.3,3.4,2.1,2.857142857,7.428571429
6,8,59766705,f20107d   ,"Jul 28, 2019 22:11","Jul 28, 2019 22:27",participated and completed        ,62,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,115,2,4,3,4,2,5,4,4,2,2,3,1,5,1,2,3,4,3,2,3,2,1,3,4,1,4,3,3,2,3,1,1,2,3,4,2,5,4,3,3,3,3,2,4,2,3,2,3,2,2,3,3,2,3,5,2,3,2,4,2,2,3,1,5,4,1,5,5,4,1,2,4,3,5,4,1,2,4,5,2,5,1,4,4,4,1,4,5,4,2,2,2,2,3,4,4,3,5,5,3,3,3,3,2,4,3,4,2,3,1,1,3,4,4,4,5,4,4,1,4,2,2,5,5,5,1,4,5,2,9,9,1,1,9,9,9,5,9,9,5,4,5,5,4,4,5,4,3,4,3,4,4,4,4,4,4,4,4,5,3,4,5,3,4,3,4,5,4,4,4,4,3,4,4,5,5,2,3,3,4,4,2,4,4,5,5,5,5,1,3,2,1,3,2,3,4,5,4,2,4.5,3.3,3.7,3.5,3.6,4.2,4.5,3,3.5,4.4,2.3,4.1,4.714285714,8.428571429
7,9,59766834,c2189ef   ,"Jul 28, 2019 22:25","Jul 28, 2019 22:52",participated and completed        ,60,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,224,1,4,4,2,4,5,4,5,2,1,5,1,5,1,4,3,2,2,2,1,2,1,3,2,1,3,2,5,1,2,4,1,2,2,2,2,5,5,4,4,2,4,4,4,1,4,3,4,2,2,5,2,4,4,4,2,2,4,4,4,1,3,4,2,1,2,4,2,3,3,4,1,1,2,4,5,4,5,4,1,4,4,4,4,4,2,1,2,2,4,3,4,4,2,2,2,5,5,2,2,2,2,4,4,3,4,2,3,2,2,4,3,1,4,3,2,4,2,5,1,2,1,4,3,4,1,3,4,3,9,9,8,1,9,9,9,3,2,9,5,3,2,5,5,2,5,4,2,4,2,2,5,2,5,3,4,2,2,5,4,4,5,5,5,4,5,5,4,4,4,2,5,5,2,4,4,3,1,2,4,2,2,2,3,3,1,1,2,4,4,2,2,2,4,3,2,2,5,2,3.9,2.9,3.1,3.4,4.5,4.3,3.7,2.7,2.3,1.8,3,2.4,3.714285714,7.428571429
8,11,59766884,ef399a0   ,"Jul 28, 2019 22:34","Jul 28, 2019 22:57",participated and completed        ,57,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,408,4,4,2,2,4,4,2,4,3,2,4,3,1,4,2,4,3,2,4,4,2,4,2,2,2,4,4,2,4,4,3,2,4,2,2,3,3,2,4,4,4,2,4,2,4,2,4,4,2,4,2,2,4,2,2,3,4,3,2,2,2,5,1,2,2,2,4,1,5,4,2,3,3,1,5,4,4,4,1,3,4,5,4,2,1,4,1,5,4,3,2,2,5,4,2,4,3,4,2,1,1,4,2,4,4,4,1,5,4,4,4,1,1,4,1,2,3,5,5,4,4,3,5,5,1,5,1,2,5,1,5,9,1,1,1,1,1,1,9,1,1,3,3,4,2,4,4,4,3,4,4,2,2,4,2,3,4,3,2,2,2,2,2,2,2,2,4,2,2,3,4,3,3,2,2,2,5,3,4,2,3,2,4,1,2,2,1,1,1,2,1,2,2,1,1,1,2,3,3,3.1,3.6,2.6,2.6,2.6,2.4,2.7,3,3,1.7,1.7,1.9,2.285714286,2.142857143
9,12,59766887,85108c6   ,"Jul 28, 2019 22:35","Jul 28, 2019 22:48",participated and completed        ,34,In a relationship        ,Female  ,I am in a heterosexual relationship,24,1,2,2,2,3,4,3,3,1,2,4,4,5,3,3,3,4,4,3,4,2,2,2,4,3,4,3,3,4,2,2,1,4,4,2,2,2,5,4,4,2,2,2,4,4,5,5,4,2,1,1,4,5,5,4,1,4,2,3,1,2,1,5,1,1,4,1,5,5,5,5,5,5,5,1,5,4,2,2,2,4,5,4,2,3,4,4,1,1,1,1,4,1,3,2,5,3,2,5,5,3,5,4,5,4,3,1,4,4,4,1,5,2,2,3,2,2,2,4,4,3,4,2,2,2,3,1,4,4,9,9,9,1,9,9,9,2,1,9,3,2,4,2,4,4,3,4,1,4,4,5,2,1,4,1,5,3,4,4,3,2,3,2,2,2,5,5,5,3,5,2,1,2,1,2,2,3,3,2,3,5,4,1,2,1,1,2,1,5,3,5,2,3,4,5,5,5,4,4,3.5,3.5,2.2,3.8,2.4,4.4,1.7,3,3.3,1.5,4.2,4.6,2.285714286,7.285714286
10,13,59766892,dc27278   ,"Jul 28, 2019 22:35","Jul 29, 2019 07:21",participated and completed        ,33,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,192,3,4,4,1,5,4,3,2,2,3,5,2,3,2,4,5,1,3,3,4,2,2,2,4,1,1,4,2,4,5,1,1,5,3,3,1,1,4,4,2,4,5,4,4,3,3,3,4,1,5,2,3,5,2,5,3,3,4,4,1,1,5,2,2,3,2,4,4,4,4,4,2,3,1,4,5,2,2,2,4,3,3,4,4,1,1,1,2,1,2,2,3,4,3,2,1,4,3,2,3,2,2,2,3,3,2,2,2,2,1,4,2,2,4,4,4,4,3,4,1,5,4,5,5,5,1,4,5,2,9,9,1,1,9,9,9,5,9,9,5,4,5,4,5,2,5,5,4,5,1,5,2,1,3,3,4,2,2,4,2,1,4,2,3,3,3,5,1,3,3,3,3,2,3,5,5,2,2,4,1,4,2,2,4,2,1,2,3,4,3,2,3,4,3,1,2,2,2,2,3.9,3.9,2.8,2.9,2.7,3,3.4,2,2.5,1.9,3,2,4.714285714,8.428571429
