"","session","hex01","hex02","hex03","hex04","hex05","hex06","hex07","hex08","hex09","hex10","hex11","hex12","hex13","hex14","hex15","hex16","hex17","hex18","hex19","hex20","hex21","hex22","hex23","hex24","hex25","hex26","hex27","hex28","hex29","hex30","hex31","hex32","hex33","hex34","hex35","hex36","hex37","hex38","hex39","hex40","hex41","hex42","hex43","hex44","hex45","hex46","hex47","hex48","hex49","hex50","hex51","hex52","hex53","hex54","hex55","hex56","hex57","hex58","hex59","hex60","responsive02","responsive03","responsive04","responsive05","commit01","commit02","commit03","commit04","commit05","commit06","commit07","age","matevalue01","matevalue02_R","matevalue03","satis01","satis02","satis03","satis04","satis05","responsive01","sex","phex01","phex02","phex03","phex04","phex05","phex06","phex07","phex08","phex09","phex10","phex11","phex12","phex13","phex14","phex15","phex16","phex17","phex18","phex19","phex20","phex21","phex22","phex23","phex24","phex25","phex26","phex27","phex28","phex29","phex30","phex31","phex32","phex33","phex34","phex35","phex36","phex37","phex38","phex39","phex40","phex41","phex42","phex43","phex44","phex45","phex46","phex47","phex48","phex49","phex50","phex51","phex52","phex53","phex54","phex55","phex56","phex57","phex58","phex59","phex60","relation_type","year","month","HH","EM","EX","AG","CO","OP","pHH","pEM","pEX","pAG","pCO","pOP","matevalue","satis","commit","responsive"
"6","9bO7fEKdHW8oSZt1h3fnlIgtwM0NWkCTCdXOlA0QPchaT55f2peYGI_NOHBHHxV7",2,4,2,3,4,3,4,3,3,3,4,2,1,2,3,5,4,1,4,3,2,5,3,3,3,4,2,2,3,3,3,3,4,2,2,4,3,4,4,4,3,2,5,3,3,3,3,2,3,3,4,3,4,3,3,3,3,3,2,1,3,6,3,5,9,4,3,2,6,8,8,23,3,3,3,6,8,6,6,7,4,2,3,4,2,3,2,3,3,2,3,1,2,2,1,4,2,4,3,1,2,4,1,4,1,3,3,2,2,3,2,2,3,2,3,2,4,4,3,4,3,2,3,2,4,2,3,2,1,2,4,2,3,2,2,2,2,2,4,4,4,1,3,3,4,3.4,3.4,3.5,3.2,3.2,3.1,3.4,2.2,3.5,3,3.2,3,4.33333333333333,6.6,6.57142857142857,4.2
"7","UtAOl4k9XbAMcEbW_Z2POzPkLnuzzZNqPIyjCAU-iYXPM6y6XioOiuWdVRqzTeSR",2,3,2,4,4,4,3,2,2,3,4,3,2,2,3,2,4,2,2,2,2,3,4,3,4,3,2,2,5,2,2,3,4,2,3,2,4,3,3,3,1,4,4,2,2,3,4,3,4,2,4,3,2,2,2,2,2,2,3,2,3,6,5,5,8,6,2,3,7,8,7,23,5,5,5,6,5,5,5,5,6,2,2,4,4,4,3,2,2,4,2,3,3,2,2,4,2,3,4,2,4,3,2,3,2,3,3,4,3,2,4,2,2,3,4,4,2,3,3,4,4,4,2,4,4,3,2,2,2,4,2,2,3,4,4,3,4,2,3,3,2,3,3,2,10,2.9,4,2.9,3.2,3.2,3.5,2.8,3.2,3.4,3.5,3.1,3,5,5.2,6.71428571428571,4.2
"9","Z918GM9fT-1y7lyXZdKi_Gy7gr9LTwyry_4h6y9Kj4IpY__y4efonoDpJYN58Akc",2,4,2,4,3,3,5,3,2,2,3,3,4,3,4,3,3,4,2,2,2,4,3,3,5,2,2,2,3,3,2,2,4,3,3,5,3,4,4,3,3,3,5,2,3,2,5,1,2,3,2,3,3,4,1,2,3,3,2,1,4,6,4,4,6,6,2,4,6,7,6,23,7,4,6,6,6,6,6,6,6,2,1,4,3,4,2,4,5,3,3,2,3,1,2,2,3,4,3,3,2,2,2,4,2,3,5,2,4,1,3,2,2,1,4,2,3,1,4,3,4,2,3,1,4,2,2,2,4,1,3,2,3,1,4,4,2,2,3,2,3,1,3,2,10,3.8,3.3,3.5,3,3.7,4.3,3.9,2.8,3.6,3.3,3.7,4,6.33333333333333,6,5.85714285714286,4
"10","RAuuchFJbHUoHjh0Gn1YndcE56TPTXCyBBCwJCciG7CaPIT4gLBnM6obKn3sCtjQ",2,2,2,5,4,4,3,4,3,4,4,1,4,4,4,2,5,3,5,5,2,5,2,5,3,5,5,2,4,4,5,4,5,1,3,3,4,4,3,4,1,5,3,4,2,4,4,3,2,3,5,2,3,5,2,1,5,2,4,2,1,7,2,6,9,9,4,1,5,9,9,22,3,3,6,7,5,5,7,7,6,2,3,5,5,5,4,3,5,5,3,2,3,4,1,1,3,3,5,1,5,3,1,5,1,4,3,4,5,3,4,2,4,1,5,1,1,3,3,5,4,3,1,5,5,3,1,4,5,1,5,3,5,4,5,4,1,1,3,2,4,3,3,0,1,3.1,3.6,3.1,3.2,2.6,3.1,2.8,3.5,3,3.9,4.1,2.9,5.33333333333333,6.2,7.42857142857143,5.6
"13","j6zhMYiNLCkrxyGAsIRGEu9T2l8l59BizKCECo3prUodwIpKvSygC64y0005C59v",1,3,2,4,5,5,5,4,4,1,4,1,3,3,5,2,2,2,1,2,1,5,2,2,5,3,2,2,5,2,2,2,4,3,2,4,2,5,5,1,3,5,5,4,4,2,3,2,4,3,2,4,1,1,2,4,4,2,2,3,7,5,3,4,5,2,6,7,3,7,3,26,4,4,4,4,4,3,5,7,7,2,1,2,1,3,1,5,1,1,4,2,5,1,5,1,5,1,5,2,2,4,5,2,2,4,2,5,1,5,2,4,2,2,2,1,2,1,4,1,1,1,1,1,5,5,2,4,5,4,2,1,2,4,1,5,2,5,4,1,3,1,3,2,7,3.3,3.7,3.2,2.9,3.3,4,3.4,3.7,1.8,1.5,1.9,3.8,4.66666666666667,4.6,3.28571428571429,3.6
"15","P0xNbNsE4es0p1jlBJmtRM7S_FVJuXqItEZ0RToUJMWkmkHLkEuXNNsOSuiKBEla",2,2,3,2,4,3,4,3,2,4,3,2,3,3,3,3,3,3,2,2,2,3,3,4,3,2,4,2,4,4,2,3,2,2,4,3,5,3,2,3,2,4,2,3,4,4,3,4,4,3,2,3,3,3,3,3,3,2,2,3,6,6,6,5,7,7,8,6,7,7,6,23,7,5,7,4,7,6,5,6,7,2,3,3,3,5,4,2,3,3,2,3,3,3,3,3,3,3,2,2,3,4,2,2,3,3,3,2,2,3,3,2,1,2,4,3,3,3,4,3,3,3,2,3,3,3,3,2,2,3,3,3,2,1,2,2,3,2,2,2,2,2,3,2,6,2.7,3.3,2.6,3.1,3.1,3.4,2.9,3.2,3.3,3.2,3.2,3.3,6.33333333333333,5.6,5.14285714285714,3.6
"16","f-P0gD25VXKo3LXjB-Z2avWnjptstrQljrk45sDYiixDvxfkGiyJJUTIokljBbCV",2,5,4,4,1,4,4,5,1,2,5,1,5,3,1,5,4,2,1,3,1,5,3,3,3,4,3,1,3,1,3,1,5,5,2,4,4,5,3,5,3,3,4,4,3,1,2,3,3,5,5,3,2,5,2,2,2,5,3,1,1,9,7,9,9,6,6,1,2,9,9,23,2,2,2,9,5,5,6,5,7,2,1,1,1,4,2,5,4,2,2,3,4,2,2,5,5,1,5,4,5,4,1,3,1,2,1,4,5,3,1,1,5,3,4,2,4,3,1,4,4,2,3,2,4,3,3,2,1,1,3,1,5,1,3,5,2,4,2,1,4,1,3,3,6,3.9,3.2,4.6,4.2,3.9,3.9,4.4,2.4,2.8,3.6,2.1,2.6,4,6,6.28571428571429,5.8
"17","uNsvvyYcG5brMm87m8SdDg1CmZ9ajmGERs26oWgSLZnutT2rJ0VHYYAGpDUiKxhm",2,5,2,2,2,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,5,2,2,4,2,2,2,3,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,9,5,9,9,9,2,1,5,9,9,26,9,2,8,8,8,9,9,9,9,2,4,4,4,5,2,4,2,2,2,2,2,1,2,1,2,2,5,5,3,4,1,5,3,2,2,2,2,2,5,2,2,2,5,2,4,5,5,2,3,2,2,2,3,2,2,2,4,2,4,2,4,2,2,5,4,4,2,2,2,1,3,2,5,3.9,2.8,3,3.1,3.2,3.1,4.5,3.5,3.4,3.7,3.1,2.7,8.33333333333333,8.6,7.71428571428571,6.6
"18","3oHzGHgzlZPdsgkO_ABJuMbOnmZn1kNEdVHUE3W5HThIjLCy9mFht7e3KUU8qvwj",1,5,4,4,1,5,5,4,1,5,4,1,3,1,4,5,5,5,1,1,1,4,5,1,5,1,5,1,4,1,1,1,5,1,3,5,1,5,5,1,2,1,5,1,5,3,5,1,1,4,5,2,2,5,1,1,4,1,1,1,1,9,3,9,9,9,1,1,9,9,9,26,8,1,5,9,8,8,9,9,9,1,1,5,5,5,4,5,5,4,1,1,4,1,5,1,1,5,5,1,1,1,1,5,5,1,5,1,2,1,5,1,1,1,5,4,2,5,3,5,5,3,1,5,5,1,5,1,5,2,1,2,5,1,1,5,1,1,1,4,1,1,3,2,10,5,4,2.9,4.3,4.8,4.4,4.1,4.7,4.6,4.7,4.6,4.8,7.33333333333333,8.6,8.42857142857143,7
"20","5_i-uMATSPaNz_FthPmxxCNeAp5sL8aCxv70KMCtzm8alxqbHtHB-UfxbhUj1moc",4,3,1,3,1,5,1,2,2,2,2,1,1,5,2,1,2,1,1,2,3,2,1,1,1,1,1,2,5,2,1,2,2,2,3,2,1,2,3,1,2,2,4,2,3,3,2,1,5,1,3,2,3,1,1,2,3,2,2,1,4,7,3,6,9,9,1,1,2,8,9,25,4,5,4,8,9,7,8,9,8,1,1,2,4,4,4,3,2,5,3,1,5,2,2,1,4,2,4,2,1,1,1,2,3,4,1,1,1,2,5,5,3,1,5,5,3,1,2,5,5,3,2,2,5,1,1,5,5,4,3,5,5,1,2,1,1,1,3,5,3,1,3,3,6,3.7,2.7,2.6,2.7,3,2.6,2.5,4,3.6,3.4,4.7,3.3,4.33333333333333,8.2,7.28571428571429,5.2
