,anchor,session,hex01.x,hex02.x,hex03.x,hex04.x,hex05.x,hex06.x,hex07.x,hex08.x,hex09.x,hex10.x,hex11.x,hex12.x,hex13.x,hex14.x,hex15.x,hex16.x,hex17.x,hex18.x,hex19.x,hex20.x,hex21.x,hex22.x,hex23.x,hex24.x,hex25.x,hex26.x,hex27.x,hex28.x,hex29.x,hex30.x,hex31.x,hex32.x,hex33.x,hex34.x,hex35.x,hex36.x,hex37.x,hex38.x,hex39.x,hex40.x,hex41.x,hex42.x,hex43.x,hex44.x,hex45.x,hex46.x,hex47.x,hex48.x,hex49.x,hex50.x,hex51.x,hex52.x,hex53.x,hex54.x,hex55.x,hex56.x,hex57.x,hex58.x,hex59.x,hex60.x,responsive02.x,responsive03.x,responsive04.x,responsive05.x,commit01.x,commit02.x,commit03.x,commit04.x,commit05.x,commit06.x,commit07.x,age.x,matevalue01.x,matevalue02_R.x,matevalue03.x,satis01.x,satis02.x,satis03.x,satis04.x,satis05.x,responsive01.x,sex.x,phex01.x,phex02.x,phex03.x,phex04.x,phex05.x,phex06.x,phex07.x,phex08.x,phex09.x,phex10.x,phex11.x,phex12.x,phex13.x,phex14.x,phex15.x,phex16.x,phex17.x,phex18.x,phex19.x,phex20.x,phex21.x,phex22.x,phex23.x,phex24.x,phex25.x,phex26.x,phex27.x,phex28.x,phex29.x,phex30.x,phex31.x,phex32.x,phex33.x,phex34.x,phex35.x,phex36.x,phex37.x,phex38.x,phex39.x,phex40.x,phex41.x,phex42.x,phex43.x,phex44.x,phex45.x,phex46.x,phex47.x,phex48.x,phex49.x,phex50.x,phex51.x,phex52.x,phex53.x,phex54.x,phex55.x,phex56.x,phex57.x,phex58.x,phex59.x,phex60.x,relation_type.x,year.x,month.x,hex01.y,hex02.y,hex03.y,hex04.y,hex05.y,hex06.y,hex07.y,hex08.y,hex09.y,hex10.y,hex11.y,hex12.y,hex13.y,hex14.y,hex15.y,hex16.y,hex17.y,hex18.y,hex19.y,hex20.y,hex21.y,hex22.y,hex23.y,hex24.y,hex25.y,hex26.y,hex27.y,hex28.y,hex29.y,hex30.y,hex31.y,hex32.y,hex33.y,hex34.y,hex35.y,hex36.y,hex37.y,hex38.y,hex39.y,hex40.y,hex41.y,hex42.y,hex43.y,hex44.y,hex45.y,hex46.y,hex47.y,hex48.y,hex49.y,hex50.y,hex51.y,hex52.y,hex53.y,hex54.y,hex55.y,hex56.y,hex57.y,hex58.y,hex59.y,hex60.y,responsive02.y,responsive03.y,responsive04.y,responsive05.y,commit01.y,commit02.y,commit03.y,commit04.y,commit05.y,commit06.y,commit07.y,age.y,matevalue01.y,matevalue02_R.y,matevalue03.y,satis01.y,satis02.y,satis03.y,satis04.y,satis05.y,responsive01.y,sex.y,phex01.y,phex02.y,phex03.y,phex04.y,phex05.y,phex06.y,phex07.y,phex08.y,phex09.y,phex10.y,phex11.y,phex12.y,phex13.y,phex14.y,phex15.y,phex16.y,phex17.y,phex18.y,phex19.y,phex20.y,phex21.y,phex22.y,phex23.y,phex24.y,phex25.y,phex26.y,phex27.y,phex28.y,phex29.y,phex30.y,phex31.y,phex32.y,phex33.y,phex34.y,phex35.y,phex36.y,phex37.y,phex38.y,phex39.y,phex40.y,phex41.y,phex42.y,phex43.y,phex44.y,phex45.y,phex46.y,phex47.y,phex48.y,phex49.y,phex50.y,phex51.y,phex52.y,phex53.y,phex54.y,phex55.y,phex56.y,phex57.y,phex58.y,phex59.y,phex60.y
1,-c-GQSnnygUUvysXZvK4,-c-GQSnnygUUvysXZvK4Am7pyHjTC5MElQjk39Hiw9b0KF90bc-EGLNKKwn9CHl4,2,3,2,2,3,5,3,5,3,3,5,1,5,1,4,2,5,1,2,2,3,1,5,3,5,5,1,5,2,3,2,1,3,2,1,2,3,5,4,2,1,5,5,5,2,1,5,5,3,4,2,5,4,5,1,5,3,1,1,2,3,6,1,5,5,6,2,2,4,7,6,25,8,2,8,3,2,3,3,2,5,2,5,4,4,3,4,2,2,3,4,2,5,4,1,5,4,3,5,1,5,4,4,2,1,3,1,3,3,1,3,2,4,3,3,3,2,5,2,5,4,2,2,5,2,4,2,3,2,2,4,2,2,2,1,4,5,3,3,3,5,3,3,0,9,2,4,2,4,4,5,3,5,4,2,4,3,3,2,4,3,5,2,5,2,2,5,4,3,3,4,2,2,4,1,2,2,4,2,2,4,4,5,4,4,4,5,4,4,4,2,5,3,2,4,3,3,4,5,2,2,4,3,2,1,1,9,1,9,9,9,1,1,8,9,9,28,5,4,5,8,8,8,9,9,9,1,1,5,2,5,4,5,3,3,3,2,2,2,5,1,2,3,5,2,3,2,1,4,5,3,5,4,1,2,4,1,2,2,4,1,3,3,4,5,4,3,2,5,4,2,5,2,5,4,2,3,4,2,5,5,2,3,3,4,1,2
2,0lHLB0L1JxJVs6QpIyUj,0lHLB0L1JxJVs6QpIyUjd1Se-hDpeWBgptUhp_8e4yyz4uI2774LMt_a8Yo2xmsF,1,2,2,4,2,4,3,3,2,2,4,2,2,2,4,3,3,2,5,3,1,4,4,2,4,4,2,1,3,3,1,2,4,3,2,4,4,4,5,3,4,3,4,3,4,2,5,2,2,2,2,3,2,3,4,4,2,4,2,2,3,8,5,7,8,7,2,2,6,7,7,18,7,1,8,6,7,6,7,3,7,2,3,4,4,4,2,3,2,5,3,2,4,2,2,3,5,3,4,1,5,2,2,4,2,4,2,3,2,2,2,2,2,1,3,2,4,3,2,5,4,3,4,2,4,1,5,1,4,4,4,2,3,1,2,5,5,2,3,5,5,2,3,0,2,3,5,5,5,1,5,4,4,2,2,5,5,5,4,5,2,1,1,5,4,3,4,2,3,1,4,5,2,1,1,2,2,5,2,1,5,5,5,5,1,2,1,4,2,3,1,5,1,2,2,3,4,2,5,1,4,1,2,5,1,1,9,1,9,9,9,1,1,9,9,9,18,3,3,5,9,9,9,9,9,9,1,2,4,4,5,2,5,4,5,1,2,5,1,4,1,2,4,5,4,5,2,1,4,4,2,3,4,2,2,5,1,2,1,4,2,4,5,5,5,5,3,1,2,5,1,5,2,5,1,1,2,5,2,1,5,2,2,1,3,4,1
3,1C9J179sOEgLGBi6KiAi,1C9J179sOEgLGBi6KiAiLd4f-2tcHrrn9RcZPIgJdur92cutWozrcaIA8Jsm-2qd,2,2,4,4,2,4,4,2,2,4,2,2,2,5,5,3,5,1,3,4,2,5,2,3,4,5,5,3,3,2,3,4,5,3,3,2,5,4,3,4,2,3,5,3,3,3,5,2,5,2,5,2,4,2,4,4,4,2,4,2,3,8,3,7,9,9,1,1,9,9,9,25,1,8,4,9,9,9,9,9,9,2,5,4,3,5,3,5,2,4,3,2,3,3,2,1,4,5,5,3,5,2,5,4,4,4,2,2,2,3,3,4,4,1,4,3,1,3,4,5,4,4,1,4,5,2,4,2,5,4,5,5,2,3,5,2,4,1,5,4,3,3,3,3,10,2,5,5,5,5,5,4,5,4,1,5,3,1,5,1,2,2,1,5,2,3,4,1,3,4,2,4,2,1,4,5,5,2,3,5,5,4,4,4,4,5,1,4,2,1,2,5,2,5,4,4,1,4,2,1,2,4,2,1,5,4,9,5,9,9,9,1,1,9,9,9,25,3,5,5,9,9,5,9,9,9,1,3,1,5,5,2,5,1,1,1,5,4,5,1,1,4,2,5,4,3,5,1,5,5,3,3,5,5,1,5,1,5,1,5,5,5,1,1,1,2,5,1,1,2,4,5,1,5,1,5,1,5,1,1,5,3,5,4,1,1,1
4,2eRfxWWJnVpeJ22-fIeC,2eRfxWWJnVpeJ22-fIeCgUoUgwEpLLWyIb7mvi9RixBu4tA2y4_k9B-f5kdqG4JM,1,4,2,2,1,3,2,3,4,1,5,3,5,1,4,3,5,2,5,4,4,3,2,3,4,4,1,2,4,4,2,4,3,4,2,3,5,5,4,5,2,4,5,3,2,2,5,4,2,3,2,4,2,4,3,4,4,4,2,3,2,9,1,9,9,6,1,1,9,9,9,20,5,2,7,8,8,5,8,6,7,2,1,2,4,4,4,2,5,3,2,2,4,3,2,4,5,2,5,2,5,4,3,4,4,3,5,4,4,2,4,3,1,4,3,2,3,1,4,4,4,3,1,2,5,4,3,2,5,4,2,3,3,2,2,4,1,5,4,4,1,3,3,1,11,3,5,3,4,2,4,5,4,4,3,4,4,1,2,5,2,2,2,2,2,3,3,4,4,4,2,4,3,3,4,4,2,5,2,1,4,5,5,5,3,3,3,5,2,3,5,5,3,4,4,2,2,4,2,1,3,2,4,2,2,1,9,1,9,9,9,1,1,9,9,9,23,7,2,2,9,9,8,9,8,9,1,2,2,2,4,5,4,1,4,5,1,4,4,5,4,5,5,5,3,4,5,5,4,5,5,2,4,4,3,5,4,5,3,4,5,2,5,5,5,4,3,1,5,5,4,1,2,5,4,2,3,4,4,2,5,5,3,5,5,1,1
5,2UGtAhVLvJXbIdJNwt-X,2UGtAhVLvJXbIdJNwt-XqOEqGsKN0ceIU79y1K0S_rqYq3Usgtln5vLr4WqbebMj,4,4,3,4,3,4,1,2,2,2,4,3,4,4,3,2,4,2,2,2,2,4,2,3,2,4,2,3,4,2,4,2,4,2,2,3,2,2,3,2,3,2,2,4,4,4,2,2,4,2,4,2,4,2,2,2,3,1,2,2,1,9,2,6,9,7,1,1,9,9,9,22,2,7,6,9,7,7,9,7,6,2,3,5,5,5,2,5,5,3,3,1,2,3,2,1,4,4,2,3,2,2,1,5,4,3,2,3,4,1,4,1,4,3,4,4,1,3,4,3,3,4,2,4,2,1,4,1,4,3,4,4,3,2,5,4,1,1,4,4,2,1,5,6,11,1,5,5,5,1,5,5,5,1,1,5,1,1,1,5,1,1,5,1,1,1,5,5,5,5,1,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5,5,5,5,5,1,1,1,5,1,1,1,9,9,9,9,9,1,1,9,9,9,NA,9,1,9,9,9,9,9,9,9,1,5,1,1,5,5,5,1,1,1,5,5,5,1,5,5,1,1,5,5,5,5,5,1,1,1,5,1,1,5,1,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,5,5,1,5,5,5,5,5,5,5
6,378JCK7TzWJDjORe-b_f,378JCK7TzWJDjORe-b_f6WBJNE4DtjQojQS6XdHTOYpG8ghmEEC6udkDp4yuJiIW,2,4,4,4,3,3,3,2,2,3,3,4,4,4,2,2,3,2,4,4,2,5,3,3,4,4,4,2,4,4,2,4,5,2,3,3,3,4,4,3,3,3,5,3,4,2,5,3,4,2,4,2,4,3,3,4,4,3,3,2,2,9,5,8,9,9,1,1,9,9,9,20,7,7,7,9,9,8,9,9,8,1,5,3,4,4,4,4,1,3,2,4,4,4,1,2,3,2,5,1,2,2,2,5,4,3,1,4,1,1,4,4,4,4,4,2,4,3,4,4,4,5,2,2,5,2,1,1,5,2,4,1,1,2,2,2,2,4,4,4,2,2,3,0,5,4,4,3,4,4,4,2,2,1,2,4,4,2,2,4,2,5,1,1,3,2,5,4,2,1,3,2,2,4,3,5,2,3,1,2,3,5,4,5,5,1,1,5,4,2,2,5,1,4,3,4,2,2,5,2,4,5,4,1,2,1,9,4,7,9,9,2,2,9,9,9,20,5,4,6,9,9,8,9,9,9,2,3,2,4,4,4,5,2,2,1,4,2,3,1,4,3,4,5,2,4,2,1,5,4,1,2,3,4,2,4,3,4,4,4,2,4,4,3,3,2,2,1,2,3,3,2,3,5,2,3,2,4,3,2,5,3,2,2,1,2,2
7,5BApBSEEDeg1Zi1aaEDX,5BApBSEEDeg1Zi1aaEDXW-iDBB5KypKzwAonByo8q29tpE0P56x_LKvEjQeK0iAB,2,4,3,5,4,3,2,4,3,2,3,3,3,3,4,3,4,2,3,2,2,4,4,4,3,3,3,3,5,3,4,2,5,1,1,3,4,4,3,2,2,3,4,2,1,4,5,2,2,4,4,4,3,5,2,3,3,2,3,1,1,9,3,9,9,5,1,1,9,9,9,20,5,3,3,9,9,7,9,9,9,2,1,4,3,4,3,4,2,4,3,2,3,1,4,4,2,3,5,2,3,2,3,4,3,3,3,4,3,2,4,3,2,2,4,4,2,4,3,4,4,4,2,2,4,4,3,3,4,3,2,3,4,3,3,4,1,3,2,4,3,1,3,1,4,2,4,4,4,5,2,2,5,4,2,5,1,3,1,5,4,4,4,3,5,5,4,2,4,5,5,4,2,4,5,2,5,4,4,1,5,4,5,5,4,5,3,5,4,2,3,2,5,3,4,5,4,5,5,2,4,2,5,3,1,2,9,4,8,9,9,1,1,9,9,9,23,6,4,6,8,8,8,8,9,9,1,2,1,2,5,5,2,3,3,4,3,4,1,4,2,4,3,4,5,2,5,1,4,5,5,4,4,4,2,4,4,4,4,3,4,5,5,4,4,4,3,2,4,5,3,2,2,5,3,2,3,5,4,2,4,2,4,3,3,4,1
8,8oyknXuYLcqXvvM_xjhm,8oyknXuYLcqXvvM_xjhm1xerFaEVzLdBZE6OfREE6GbRF0ZZZS_ZywtVwtFaMsla,1,4,2,2,4,4,4,2,1,2,4,4,2,2,2,4,4,1,2,4,2,2,2,2,2,4,2,2,4,2,2,2,4,2,2,4,2,3,3,2,2,3,4,4,2,4,4,2,4,2,3,2,2,5,2,3,3,2,2,2,2,8,2,6,9,8,1,1,7,9,8,23,5,3,2,8,8,7,8,7,8,2,2,3,4,4,2,4,4,2,1,2,2,1,2,2,1,4,4,2,2,3,1,4,2,2,4,3,4,2,3,3,2,2,4,3,4,4,3,4,4,4,2,2,3,4,1,2,2,2,2,1,4,1,4,4,2,2,3,4,4,2,3,3,2,2,4,2,4,4,4,3,4,2,3,4,1,4,2,4,4,4,2,3,2,2,4,2,3,1,4,3,2,3,4,2,3,4,4,2,3,4,4,4,3,2,2,5,2,3,2,4,1,3,4,4,2,2,4,1,2,3,3,4,1,1,8,1,8,8,8,2,1,8,8,8,24,1,8,1,8,8,8,7,8,8,1,2,4,3,5,5,4,2,4,3,4,4,1,3,4,4,2,4,2,4,4,2,3,4,4,2,4,3,4,4,2,3,4,3,3,2,3,3,4,3,3,2,4,4,4,3,4,3,2,4,3,4,4,2,5,4,2,3,2,2,1
9,8XKgFJcX43fO4Aq6eW2o,8XKgFJcX43fO4Aq6eW2oISyuXpp8zMSq9KgJZCs8mEjL8b_Eyh7b3q8XAInlXKfG,4,2,2,4,1,5,1,2,1,3,5,5,4,1,4,1,2,1,4,2,2,5,2,2,2,3,1,1,5,2,2,5,2,4,3,2,5,5,2,1,5,2,5,4,2,2,5,5,2,5,5,1,4,2,3,5,3,4,4,1,1,9,2,9,9,2,1,1,6,9,9,23,9,1,8,9,9,7,9,9,9,2,4,4,2,4,1,5,1,3,1,4,4,3,1,4,1,3,1,4,3,4,1,4,2,1,2,4,5,2,1,1,4,3,4,1,2,5,2,4,4,2,3,4,3,4,5,1,4,2,5,1,5,4,4,5,3,5,3,2,2,1,3,5,11,5,5,5,4,3,5,1,1,1,5,3,1,1,5,1,5,2,2,3,1,1,5,2,1,3,3,5,1,4,1,3,1,5,1,3,5,3,4,5,5,1,3,3,2,5,2,3,1,5,2,5,1,4,5,1,4,1,3,2,1,1,9,1,8,9,9,1,1,8,9,9,24,1,9,1,9,8,6,9,9,9,1,3,5,2,4,5,5,1,2,1,1,5,1,1,5,1,4,5,2,1,2,1,5,2,1,1,1,1,1,5,1,4,1,2,3,1,5,3,3,2,5,1,1,3,1,3,1,4,1,5,3,2,1,1,5,5,1,3,5,1,1
10,9rnVy-Pp4t9RiB1MsbgF,9rnVy-Pp4t9RiB1MsbgF0jvvgBjXgyr2tdqhWtNAQGiNiFHQUZ2m6V0Gd6z83yi5,1,4,4,4,3,3,2,3,5,2,4,5,4,1,2,2,5,2,2,2,1,5,2,4,5,1,2,2,4,4,1,5,5,2,2,2,4,4,4,2,1,5,5,5,1,2,5,3,5,5,4,5,1,2,2,1,3,3,1,1,2,9,8,8,9,9,2,1,8,9,9,25,6,3,7,9,9,8,9,9,9,2,1,4,3,4,1,5,3,5,4,2,2,5,5,1,4,2,5,1,1,1,2,3,5,5,5,4,4,1,1,1,1,1,5,4,1,2,3,5,3,4,1,5,5,4,4,2,5,5,1,4,1,5,5,5,1,4,4,5,1,4,3,0,2,1,3,2,4,1,4,5,5,4,1,4,5,5,5,5,2,4,2,5,4,4,3,2,5,5,3,4,2,2,5,1,1,5,5,1,2,5,5,5,4,5,4,5,5,4,5,5,4,2,2,5,4,5,4,1,4,4,4,2,4,1,9,1,9,9,8,2,6,9,9,9,23,1,1,3,9,8,7,9,7,9,1,2,2,1,5,5,5,5,5,2,2,5,5,4,1,4,5,5,5,5,2,1,4,5,2,1,5,4,1,5,1,2,4,5,1,1,2,5,1,2,2,2,1,5,5,5,4,5,2,5,2,1,4,2,5,1,5,2,2,2,1
